name,corrected_name
1 00 tangy chicken recipe,Tangy Chicken Recipe
1 000 artichoke hearts,Artichoke Hearts
1 2 3 4 5 chinese spareribs,Chinese Spareribs
1 2 3 4 cake with caramel icing,Cake with Caramel Icing
1 2 3 granola,Granola
1 2 3 jambalaya,Jambalaya
1 2 3 rice and chili burritos,Rice and Chili Burritos
1 dish italian 5 cheese pizza bake,Italian Five Cheese Pizza Bake
1 favorite chinese steamed whole fish by sy,Chinese Steamed Whole Fish by SY
1 hour ham and bean soup,Ham and Bean Soup
1 minute apple tortilla,Apple Tortilla
1 minute chili cheese burritos,Chili Cheese Burritos
1 pan fudge cake,One-Pan Fudge Cake
1 spicy sweet honey chili,Spicy Sweet Honey Chili
1 squash dressing,Squash Dressing
10  bars, with 'Honey Pecan Crunch'Honey Pecan
10 calorie chocolate miracle noodle cookies,Chocolate Miracle Noodle Cookies
10 can spaghetti sauce   oamc,OAMC Spaghetti Sauce
10 clove stove top roast,Stove Top Roast with Cloves
10 grain muffins,Ten Grain Muffins
10 min japanese simmered tofu hot pot,Japanese Simmered Tofu Hot Pot
10 minute   quick and easy chocolate brownie pudding cake,Quick and Easy Chocolate Brownie Pudding Cake
10 minute applesauce   alton brown,Applesauce (Alton Brown)
10 minute mushroom spaghetti sauce,Mushroom Spaghetti Sauce
10 minute paella,Paella
10 minute rocky road,Rocky Road
10 minute shrimp pad thai,Shrimp Pad Thai
10 minute szechuan chicken,Szechuan Chicken
10 minute tomato sauce from america s test kitchen,Tomato Sauce from America's Test Kitchen
10 minute tvp tacos  modified   hot single guy version,Ten Minute TVP Tacos Modified Hot Single Guy Version
10 second mango yogurt smoothie,Mango Yogurt Smoothie
100  semolina bread,Semolina Bread
100  whole wheat wholesome muffin mix,Whole Wheat Wholesome Muffin Mix
100  yummy banana bread,Banana Bread
100 chocolate cake,Chocolate Cake
100 stroke banana bread,Banana Bread
100 year old  new zealand lamb dish    i have used deer  w this,New Zealand Deer Lamb Dish
100 year old souffle,Century Old Souffle
11 layer salad,Layer Salad
11 secret herbs and spices  kfc copycat,'Secret Herbs and Spices KFC Copycat'
12 cheese stuffed shells,Cheese Stuffed Shells
123 chocolate pinwheel pudding,Chocolate Pinwheel Pudding
14 karat cake,Karat Cake
15 bean soup,Bean Soup
15 minute cheesy chili  n rice skillet,Cheesy Chili Rice Skillet
15 minute chicken fajitas,Chicken Fajitas
15 minute chicken liver pate,Chicken Liver Pate
15 minute chicken tortilla soup,Chicken Tortilla Soup
15 minute chili and rice wraps,Chili and Rice Wraps
15 minute creamy sun tomato basil cashew pasta,Creamy Sun-Dried Tomato Basil Cashew Pasta
15 minute fat free cheesecake,'Fat Free Cheesecake'
15 minute no fry chicken enchiladas  honest,No Fry Chicken Enchiladas
15 minute pasta combo,Fifteen Minute Pasta Combo
15 minute red beans   rice,Red Beans and Rice
15 minute shrimp scampi,Shrimp Scampi
15 minute stove top macaroni  n cheese,Stove Top Macaroni and Cheese
15 minute tiger prawns with chinese greens,Tiger Prawns with Chinese Greens
16 hour pulled pork,Pulled Pork
16 quart chicken corn soup,Chicken Corn Soup
1917 war cake,World War I Cake
1927 eskimo cup,Eskimo Cup
1927 peanut butter bread,Peanut Butter Bread
1928 award winning gold cake,Award Winning Gold Cake
1937 strawberry shortcake,Strawberry Shortcake
1940 s best carrot cake recipe,Best Carrot Cake Recipe
1940 s coleslaw,Coleslaw
1947 date nut bread,Date Nut Bread
1949 country style steak,Country Style Steak
1950 s brownies,Brownies
1950s picture salad   peach and cottage cheese,Peach and Cottage Cheese Salad
1953 meatloaf,Meatloaf
1st time host stuffing,First Time Host Stuffing
2 alarm chili,Alarm Chili
2 by 4 soup,Two by Four Soup
2 hour turkey  really,Turkey really
2 ingerdient orange slushies,Orange Slushies
2 ingredient punch  mock champagne punch,Two Ingredient Mock Champagne Punch
2 kind apple halva,Apple Halva
2 minute fudge,Fudge
